task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version,team_clean,task_type_clean,brief_quality_missing,delivered_at_estimated,sla_days_inferred,delivery_days_actual,hours_spent_low_corrected,billable_hours_estimated,billable_hours_negative_corrected,billable_hours_recalculated,created_month,ai_usage_imputed,rework_hours_corrected,rework_hours_imputed,outcome_score_imputed,revenue_per_hour_temp,cost_per_hour_temp,profit_check,profit_diff,profit_margin_valid,profit_margin,efficiency_ratio_valid,efficiency_ratio,rework_ratio_valid,rework_ratio,cost_per_hour_valid,cost_per_hour,revenue_per_hour_valid,revenue_per_hour,margin_per_hour,delivery_speed_valid,delivery_speed,ai_usage_bin,ai_usage_bin_encoded
T00000,Client_F,P038,mid,Content,report,junior,2,3.0,high,0,hourly,2025-11-20,2025-11-25,10.0,0,7.63,5.14,0.75,True,1,1,2.1,69.93,498.11,346.17,151.94,user_096,2025-11-28,review,finalized,JIRA-49014,true,v1,Content,report,0,0,0,5,0,0,0,0,2025-11,0,0,0,0,65.28309305373526,45.36959370904325,151.94,0.0,1,0.305033024833872,1,0.673656618610747,1,0.27522935779816515,1,45.36959370904325,1,65.28309305373526,19.913499344692006,1,0.5,High (60-80%),4
T00001,Client_H,P028,low,Paid Media,release,junior,1,2.0,medium,0,fixed,2026-01-24,2026-01-26,7.0,0,9.52,8.22,0.0,False,1,1,4.48,82.79,847.01,343.18,503.83,user_058,2026-01-26,delivered,client_review,JIRA-84793,false,v1,Media,release,0,0,0,2,0,0,0,0,2026-01,0,0,0,0,88.97163865546219,36.04831932773109,503.83,0.0,1,0.5948335911028205,1,0.8634453781512607,1,0.4705882352941177,1,36.04831932773109,1,88.97163865546219,52.92331932773109,1,0.2857142857142857,Low (0-20%),1
T00002,Client_D,P009,low,Design,dev,junior,3,4.0,medium,0,fixed,2025-09-16,2025-09-23,5.0,1,8.45,6.15,0.37,True,2,0,2.71,76.4,1374.07,365.02,1009.05,user_074,2025-09-17,in_progress,qa,JIRA-42485,true,v2,Design,dev,0,0,0,7,0,0,0,0,2025-09,0,0,0,0,162.61183431952662,43.19763313609467,1009.05,0.0,1,0.7343512339254914,1,0.727810650887574,1,0.3207100591715977,1,43.19763313609467,1,162.61183431952662,119.41420118343194,1,1.4,Low-Medium (20-40%),2
T00003,Client_E,P023,mid,Content,design,mid,3,2.0,low,0,hourly,2025-11-06,2025-11-09,3.0,0,28.35,24.22,0.0,False,4,1,0.0,70.71,2379.11,1514.73,864.3800000000001,user_011,2025-11-12,in_progress,briefing,JIRA-53111,false,v1,Content,design,0,0,0,3,0,0,0,0,2025-11,0,0,0,1,83.91922398589065,53.42962962962963,864.3800000000001,0.0,1,0.36332073758674466,1,0.8543209876543209,1,0.0,1,53.42962962962963,1,83.91922398589065,30.489594356261023,1,1.0,Low (0-20%),1
T00004,Client_C,P014,low,Design,article,senior,2,5.0,low,0,fixed,2026-05-02,2026-05-06,7.0,0,5.93,4.44,0.2,True,2,2,0.84,73.83500000000001,709.95,335.27,374.68000000000006,user_007,2026-05-09,review,execution,JIRA-86006,true,v2,Design,article,0,0,0,4,0,0,0,0,2026-05,0,0,0,1,119.72175379426646,56.53794266441821,374.68000000000006,0.0,1,0.5277554757377281,1,0.748735244519393,1,0.14165261382799327,1,56.53794266441821,1,119.72175379426646,63.18381112984825,1,0.5714285714285714,Low-Medium (20-40%),2
T00005,Client_G,P011,mid,Content,ticket,junior,1,2.0,medium,0,hourly,2026-05-10,2026-05-12,2.0,0,5.72,5.03,0.43,True,3,0,3.57,58.52,412.26,227.78,184.48,user_119,2026-05-13,in_progress,qa,JIRA-60375,true,final,Content,ticket,0,0,0,2,0,0,0,0,2026-05,0,0,0,0,72.07342657342657,39.82167832167833,184.48,0.0,1,0.44748459709891814,1,0.8793706293706295,1,0.6241258741258742,1,39.82167832167833,1,72.07342657342657,32.251748251748246,1,1.0,Medium-High (40-60%),3
T00006,Client_D,P011,high,seo,report,junior,3,2.0,medium,0,hourly,2025-08-27,2025-08-30,3.0,0,13.83,11.5,0.58,True,3,2,4.51,56.55,1523.0,744.12,778.88,user_052,2025-08-31,review,qa,JIRA-11083,false,v1,SEO,report,0,0,0,3,0,0,0,0,2025-08,0,0,0,0,110.1229211858279,53.80477223427332,778.88,0.0,1,0.5114116874589626,1,0.8315256688358641,1,0.3261026753434562,1,53.80477223427332,1,110.1229211858279,56.31814895155458,1,1.0,Medium-High (40-60%),3
T00007,Client_G,P014,high,Media,article,junior,4,4.0,low,0,fixed,2026-03-27,2026-03-27,7.0,0,8.83,5.19,0.27,True,5,0,3.05,89.39,1540.97,311.76,1229.21,user_051,2026-03-31,delivered,qa,JIRA-78764,false,v1,Media,article,0,0,0,0,0,0,0,0,2026-03,0,0,0,0,174.51528878822197,35.306908267270664,1229.21,0.0,1,0.7976858731837738,1,0.5877689694224236,1,0.3454133635334088,1,35.306908267270664,1,174.51528878822197,139.2083805209513,1,0.0,Low-Medium (20-40%),2
T00008,Client_G,P053,low,Design,ad,mid,3,3.0,high,0,value_based,2025-09-10,2025-09-17,3.0,1,8.8,7.39,0.4,True,1,0,1.86,93.27,1040.82,568.06,472.76,user_064,2025-09-14,review,qa,JIRA-77681,false,v1,Design,ad,0,0,0,7,0,0,0,0,2025-09,0,0,0,0,118.27499999999998,64.55227272727272,472.76,0.0,1,0.454218789031725,1,0.8397727272727271,1,0.21136363636363636,1,64.55227272727272,1,118.27499999999998,53.722727272727255,1,2.3333333333333335,Medium-High (40-60%),3
T00009,Client_B,P054,mid,Media,ticket,junior,2,4.0,medium,0,hourly,2026-04-08,2026-04-10,2.0,0,12.67,9.38,0.4,True,2,1,0.87,77.21,283.23,516.59,-233.36,user_083,2026-04-16,in_progress,qa,,false,final,Media,ticket,0,0,0,2,0,0,0,0,2026-04,0,0,0,0,22.354380426203633,40.77269139700079,-233.36,0.0,1,-0.8239240193482329,1,0.7403314917127073,1,0.06866614048934491,1,40.77269139700079,1,22.354380426203633,-18.418310970797158,1,1.0,Medium-High (40-60%),3
T00010,Client_F,P020,low,Media,ad,mid,4,3.0,low,0,fixed,2025-09-11,2025-09-14,2.0,1,11.57,7.0,0.38,True,5,1,4.59,51.37,743.55,756.78,-13.230000000000018,user_064,2025-09-12,delivered,client_review,JIRA-82158,false,final,Media,ad,0,0,0,3,0,0,0,0,2025-09,0,0,0,0,64.26534140017286,65.40881590319792,-13.230000000000018,0.0,1,-0.017793019971757137,1,0.6050129645635264,1,0.39671564390665515,1,65.40881590319792,1,64.26534140017286,-1.143474503025061,1,1.5,Low-Medium (20-40%),2
T00011,Client_F,P062,low,content,report,junior,5,4.0,high,0,hourly,2026-05-03,2026-05-09,3.0,1,21.11,13.48,0.56,True,5,1,4.61,78.42,1681.29,661.02,1020.27,user_107,2026-05-10,review,execution,JIRA-10367,true,v2,Content,report,0,0,0,6,0,0,0,0,2026-05,0,0,0,0,79.64424443391758,31.313121743249646,1020.27,0.0,1,0.6068376068376068,1,0.6385599242065372,1,0.21837991473235435,1,31.313121743249646,1,79.64424443391758,48.33112269066793,1,2.0,Medium-High (40-60%),3
T00012,Client_A,P047,low,Design,ad,mid,3,5.0,low,0,value_based,2026-03-13,2026-03-16,2.0,1,14.78,14.17,0.0,False,1,3,0.9,76.62,831.85,860.8,-28.94999999999993,user_017,2026-03-22,review,finalized,,true,v1,Design,ad,0,0,0,3,0,0,0,0,2026-03,0,0,0,0,56.282138024357245,58.24086603518268,-28.949999999999932,3.552713678800501e-15,1,-0.03480194746649026,1,0.9587280108254398,1,0.06089309878213803,1,58.24086603518268,1,56.282138024357245,-1.958728010825432,1,1.5,Low (0-20%),1
T00013,Client_C,P054,mid,SEO,article,junior,3,2.0,low,1,hourly,2026-05-12,2026-05-19,2.0,1,5.53,5.07,0.27,True,1,2,2.94,59.93,598.67,277.76,320.91,user_046,2026-05-16,delivered,briefing,JIRA-77165,true,v1,SEO,article,0,0,0,7,0,0,0,0,2026-05,0,0,0,0,108.25858951175405,50.22784810126582,320.90999999999997,5.684341886080802e-14,1,0.536038218050011,1,0.9168173598553345,1,0.5316455696202531,1,50.22784810126582,1,108.25858951175405,58.03074141048823,1,3.5,Low-Medium (20-40%),2
T00014,Client_G,P006,low,Content,dev,junior,1,4.0,medium,0,hourly,2025-07-18,2025-07-23,7.0,0,6.01,4.9,0.54,True,2,0,1.66,79.92,459.38,235.72,223.66,user_046,2025-07-18,in_progress,execution,JIRA-60788,true,v2,Content,dev,0,0,0,5,0,0,0,0,2025-07,0,0,0,0,76.43594009983362,39.22129783693844,223.66,0.0,1,0.4868736122600026,1,0.8153078202995009,1,0.2762063227953411,1,39.22129783693844,1,76.43594009983362,37.214642262895175,1,0.7142857142857143,Medium-High (40-60%),3
T00015,Client_D,P008,mid,SEO,dev,senior,3,3.0,medium,0,fixed,2026-01-24,2026-01-31,7.0,0,12.55,11.4,0.22,True,2,2,0.81,68.28,1255.54,882.97,372.57,user_048,2026-02-01,in_progress,execution,JIRA-62159,false,v1,SEO,dev,0,0,0,7,0,0,0,0,2026-01,1,0,0,0,100.0430278884462,70.35617529880479,372.56999999999994,5.684341886080802e-14,1,0.29674084457683547,1,0.9083665338645418,1,0.06454183266932272,1,70.35617529880479,1,100.0430278884462,29.68685258964142,1,1.0,Low-Medium (20-40%),2
